capability,OGC SensorThings,generic CEP,Predictive-SHM,SHM-EM,basis
Heterogeneous observation access,Yes,Partial,Yes,Yes,SensorThings standardizes heterogeneous observation access; CEP consumes flows from distributed sources but does not define an SHM observation schema; Predictive-SHM states multi-source ingestion; SHM-EM uses registered observation adapters.
Standardized observation semantics,Yes,Not applicable,Yes,Partial,SensorThings defines sensing entities; Predictive-SHM reports ULDM; SHM-EM has a versioned internal registry rather than an external observation standard.
Model-specific ordered input contract,Not applicable,Not applicable,Partial,Yes,"Predictive-SHM adapters map ULDM views to model tensors; SHM-EM additionally persists versioned feature order, target bindings, units, transforms, and contract fingerprints."
Pluggable forecasting/model adapter,Not applicable,Not applicable,Yes,Yes,Predictive-SHM explicitly reports pluggable prediction and model adapters; SHM-EM registers model bundles and PIT_PRE adapters.
Artifact and input-schema hash validation,Not applicable,Not applicable,Not reported,Yes,"The Predictive-SHM publisher abstract does not report this control; SHM-EM verifies artifact, preprocessor, script, runtime-manifest, contract, and persisted-result hashes."
Shared prediction origin and future timeline,Not applicable,Not applicable,Not reported,Yes,"Predictive-SHM reports standardized timestamped forecasts, but the primary source does not explicitly describe a common multi-model prediction origin or project-level synchronized future timeline. SHM-EM validates one batch origin and a common 40-step timeline."
Project-level future-state aggregation,Not applicable,Not applicable,Not reported,Yes,"This is an SHM-EM domain mechanism that aggregates target, station, and project states under a versioned policy."
Rule/event evaluation,Not applicable,Yes,Partial,Yes,CEP is designed for stream conditions and event derivation; Predictive-SHM reports residual- and threshold-based alerting; SHM-EM evaluates observation or prediction series against versioned rules.
Side-effect-free candidate evaluation,Not applicable,Not reported,Not reported,Yes,"SHM-EM Evaluate returns simulated candidates and creates no formal event, workflow, response step, or prediction link."
Rechecked formal execution,Not applicable,Not reported,Not reported,Yes,SHM-EM Execute recomputes and persists the execution Gate before formal rule evaluation and event creation.
Persisted-result integrity revalidation,Not applicable,Not reported,Not reported,Yes,SHM-EM independently recomputes persisted prediction-result integrity before formal execution.
Event-to-model/input provenance,Not applicable,Not reported,Not reported,Yes,"SHM-EM links a formal event to its rule, Gate, batch, run, model/hash, input window/schema hash, and forecast snapshot."
