case_id,reviewer_fault,fault_injection,expected_rejection_stage,actual_rejection_stage,model_set_valid,feature_set_valid,timeline_valid,quality_valid,artifact_hash_valid,freshness_valid,execution_eligible,gate_issues,evaluate_attempted,execute_attempted,execute_rejected,event_delta,response_workflow_delta,response_step_delta,report_delta,notification_delta,prediction_link_delta,evidence_link_delta,metric_snapshot_delta,evidence_resource_delta,event_state_transition_delta,event_notification_state_delta,notification_delivery_delta,handling_log_delta,audit_gate_delta,evaluation_run_delta,audit_log_delta,pass,finding_code,notes
P00,Valid reference control,-- Positive control: no fault injected.,POSITIVE_CONTROL,NONE,True,True,True,True,True,True,True,,True,True,False,1,1,4,1,0,1,0,0,0,0,0,0,0,1,2,0,True,,Evaluate formal side effects zero=True; Execute provenance complete=True
F01,Incomplete forecast steps,DELETE FROM em_prediction_result WHERE id=20167; -- point1_0.12Pressure_value step 40,EXECUTION_GATE,EXECUTION_GATE,True,True,False,True,True,True,False,The required 40-step prediction timeline is incomplete,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,,Prediction batch is not eligible for formal event execution: The required 40-step prediction timeline is incomplete
F02,Stale prediction,-- No data mutation. OPERATIONAL wall-clock freshness is the single fault.,EXECUTION_GATE,EXECUTION_GATE,True,True,True,True,True,False,False,Prediction batch is stale for operational execution,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,,Prediction batch is not eligible for formal event execution: Prediction batch is stale for operational execution
F03,Incorrect model artifact hash,UPDATE em_prediction_run SET artifact_hash='ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff' WHERE id=25;,EXECUTION_GATE,EXECUTION_GATE,True,True,True,True,False,True,False,Artifact hash mismatch for model Pressure@pit_pre_v1,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,,Prediction batch is not eligible for formal event execution: Artifact hash mismatch for model Pressure@pit_pre_v1
F04,Missing required target channel,DELETE FROM em_prediction_result WHERE batch_id=5 AND feature_code='dtu1_point2_settlement_value'; -- 40 rows,EXECUTION_GATE,EXECUTION_GATE,True,False,False,True,True,True,False,Required prediction features are missing | The required 40-step prediction timeline is incomplete,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,,"Prediction batch is not eligible for formal event execution: Required prediction features are missing, The required 40-step prediction timeline is incomplete"
F05,Invalid engineering unit,UPDATE em_prediction_result SET engineering_unit='kPa' WHERE batch_id=5 AND feature_code='dtu1_point1_settlement_value';,RULE_VALIDATION,RULE_VALIDATION,True,True,True,True,True,True,True,,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,,Rule threshold unit mm does not match engineering value unit kPa for metric ground_settlement
F06,Input-schema mismatch,UPDATE em_prediction_run SET input_schema_hash='aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa' WHERE id=25;,EXECUTION_GATE,EXECUTION_GATE,True,True,True,True,False,True,False,Input schema hash mismatch for model Pressure@pit_pre_v1,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,,Prediction batch is not eligible for formal event execution: Input schema hash mismatch for model Pressure@pit_pre_v1
F07,Temporal misalignment,"UPDATE em_prediction_result SET future_time=DATE_ADD(future_time, INTERVAL 10 SECOND) WHERE id=19621;",EXECUTION_GATE,EXECUTION_GATE,True,True,False,True,True,True,False,Prediction timestamps or horizons do not match the batch timeline,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,,Prediction batch is not eligible for formal event execution: Prediction timestamps or horizons do not match the batch timeline
F08,Failed model run,UPDATE em_prediction_run SET status='failed' WHERE id=25; -- Pressure,EXECUTION_GATE,EXECUTION_GATE,False,True,True,True,True,True,False,One or more required model runs are not successful,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,,Prediction batch is not eligible for formal event execution: One or more required model runs are not successful
F09,Corrupted persisted forecast values with stale hashes,"-- Intentionally leave em_prediction_run.result_hash and em_prediction_batch.output_hash unchanged. UPDATE em_prediction_result SET predicted_value=109.42900000, engineering_value=109.42900000 WHERE batch_id=5 AND feature_code='dtu1_point1_settlement_value';",PERSISTED_RESULT_INTEGRITY,NONE,True,True,True,True,True,True,True,,False,True,False,1,1,4,1,0,1,0,0,0,0,0,0,0,1,1,0,False,PERSISTED_RESULT_INTEGRITY_GAP,Gate eligible=True; Execute rejected=False; formal event delta=1; stored hashes intentionally unchanged
F10,Invalid prediction quality flag,UPDATE em_prediction_result SET quality_flag='review' WHERE id=19621; -- point1_0.12Pressure_value step 1,EXECUTION_GATE,EXECUTION_GATE,True,True,True,False,True,True,False,Prediction results contain quality flags requiring review,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,,Prediction batch is not eligible for formal event execution: Prediction results contain quality flags requiring review
F11,Batch status failure,UPDATE em_prediction_batch SET status='failed' WHERE id=5;,EXECUTION_GATE,EXECUTION_GATE,True,True,True,True,True,True,False,Batch status is not success,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,,Prediction batch is not eligible for formal event execution: Batch status is not success
F12,Evaluate then mutate then Execute recheck,-- Applied after valid Evaluate and before Execute. UPDATE em_prediction_run SET artifact_hash='cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc' WHERE id=25;,EXECUTE_RECHECK,EXECUTE_RECHECK,True,True,True,True,False,True,False,Artifact hash mismatch for model Pressure@pit_pre_v1,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,,Evaluate side-effect-free=True; Execute response=Prediction batch is not eligible for formal event execution: Artifact hash mismatch for model Pressure@pit_pre_v1
I01,Partial dropped observation,DELETE FROM `em_obs_earth_pressure` WHERE id=32414; -- one interior sample at 2025-01-01 00:21:45,INPUT_ALIGNMENT_POLICY,INPUT_ALIGNMENT_POLICY,,,,,,,,,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,baseline fill cells=24; new fill cells=25; unresolved missing=0; new results=4960
I02,Entire required feature unavailable,DELETE FROM `em_obs_earth_pressure` WHERE instrument_id=60 AND metric_code='earth_pressure_p'; -- entire required feature history,INPUT_ASSEMBLY,INPUT_ASSEMBLY,,,,,,,,,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,PIT_PRE exit=1; successful new batches=0; new runs=0; new results=0
